	Game #	Division	Day	Time	Home	Score	Visitor	Score	Field
	35 Mins Halves Shootout Game #1, #2 IF NEEDED								
	1	Mens' Over 52	Sat 16	11:00 AM	Sher-E-Punjab		Van United		Memorial Pond
	2	Mens' Over 52	Sat 16	12:30 PM	Vancouver Soccer Club		India Nations		Memorial Pond
	3	Mens' Over 52	Sat 16	2:30 PM	Loser of 1 		Winner of 2		Memorial Pond
	4	Mens' Over 52	Sat 16	4:00 PM	Winner of 1		Loser of 2		Memorial Pond
	FINALS								
	35 Mins Halves 2-7.5 Mins Halves OT. Shootout IF NEEDED								
	5	Mens' Over 52	Sun 17	12:30 PM	Winner		Winner 		Memorial Pond
	Game #	Division	Day	Time	Home	Score	Visitor	Score	Field
	35 Mins Halves Shootout Game #6, 9, 12, 15, 16, 19 & 20 IF NEEDED								
	GROUP A								
	6	Mens' 1	Sat 16	9:00 AM	BCT Hurricanes		Van-Selam FC		Memorial Turf
	7	Mens' 1	Sat 16	12:30 PM	Loser of 6		Temple United		Memorial Turf
	8	Mens' 1	Sat 16	4:00 PM	Winner of 6		Temple United		Memorial Turf
	GROUP B								
	9	Mens' 1	Sat 16	10:20 AM	Vancity Pro		Ethio FC		Memorial Turf
	10	Mens' 1	Sat 16	2:00 PM	Loser of 9		BCT Supra		Memorial Turf
	11	Mens' 1	Sat 16	5:30 PM	Winner of 9		BCT Supra		Memorial Turf
	GROUP C								
	12	Mens' 1	Sat 16	10:20 AM	BCT Punjab Prem		Akal United		King George Turf
	13	Mens' 1	Sat 16	2:00 PM	Loser of 12		Khalsa Sporting Academy		King George Turf
	14	Mens' 1	Sat 16	5:30 PM	Winner of 12		Khalsa Sporting Academy		King George Turf
									
	GROUP D								
	15	Mens' 1	Sat 16	9:00 AM	Ares AFA		BC Tigers		King George Turf
	16	Mens' 1	Sat 16	9:00 AM	Abbortsfor United		Coastal FC		McNair
	17	Mens' 1	Sat 16	12:30 PM	Loser of 15		Winner of 16		McNair
	18	Mens' 1	Sat 16	12:30 PM	Winner of 15		Loser of 16		King George Turf
	SEMI FINALS								
	19	Mens' 1	Sun 18	12:00 PM	Winner A		Winner B		Memorial Turf
	20	Mens' 1	Sun 18	1:30 PM	Winner C		Winner D		Memorial Turf
	FINALS								
	35 Mins Halves 2-7.5 Mins Halves OT. Shootout IF NEEDED								
	21	Mens' 1	Sun 17	5:00 PM	Winner 19		Winner 20		Memorial Turf
	Game #	Division	Day	Time	Home	Score	Visitor	Score	Field
	35 Mins Halves Shootout Game #22, 25, 28, 29, 32, 35 & 36 IF NEEDED								
	GROUP A								
	22	Mens' 2	Sat 16	10:20 AM	Akal United		Vancity Pro		Moberly Upper
	23	Mens' 2	Sat 16	2:00 PM	Loser of 22		Richmond Unicorns		Moberly Upper
	24	Mens' 2	Sat 16	5:30 PM	Winner of 22		Richmond Unicorns		Moberly Upper
	GROUP B								
	25	Mens' 2	Sat 16	10:20 AM	Temple United		BCT Punjab U-19		Moberly Lower
	26	Mens' 2	Sat 16	2:00 PM	Loser of 25		GVU Punjab		Moberly Lower
	27	Mens' 2	Sat 16	5:30 PM	Winner of 25		GVU Punjab		Moberly Lower
	GROUP C								
	28	Mens' 2	Sat 16	9:00 AM	DUFC		RHO FC		Moberly Upper
	29	Mens' 2	Sat 16	9:00 AM	SFC Royals		BCT Punjab		Moberly Lower
	30	Mens' 2	Sat 16	12:30 PM	Loser 28		Winner 29		Moberly Upper
	31	Mens' 2	Sat 16	12:30 PM	Winner 28		Loser 29		Moberly Lower
	GROUP D								
	32	Mens' 2	Sat 16	10:20 AM	GVU Pheonix		SFC Elite		McNair
	33	Mens' 2	Sat 16	2:00 PM	Loser of 32		Khalsa Sporting Academy		McNair
	34	Mens' 2	Sat 16	5:30 PM	Winner of 32		Khalsa Sporting Academy		McNair
	SEMI FINALS								
	35	Mens' 2	Sun 17	9:00 AM	Winner A		Winner B		Memorial Turf
	36	Mens' 2	Sun 17	10:30 AM	Winner C		Winner D		Memorial Turf
	FINALS								
	35 Mins Halves 2-7.5 Mins Halves OT. Shootout IF NEEDED								
	37	Mens' 2	Sun 17	3:00 PM	Winner 35		Winner 36		Memorial Turf
									
